Esperanto,English
la,the
mi,I
vi,you
ne,no
estas,is
kaj,and
ĉu,whether
de,of
al,to
ni,We
en,In
li,he
ke,that
por,for
ĉi,this
tio,that
sed,but
ili,they
kiel,as
vin,you
tie,there there
pri,about
min,me
jes,Yes
kio,what
mia,my
kun,with
estis,was
kion,what
ĝi,it
povas,can
kiu,which
via,your
tiu,that one
ĝin,it it
ŝi,she
bone,ok
tion,that
se,If
volas,want to
havas,have
do,so
pli,more
nur,only
oni,one
nun,now
scias,know
kial,Why
devas,must
lin,him
el,out of
kiam,when
unu,one
kie,where
ja,ja
jam,already
jen,Here is
tiel,Thus
nu,Well
da,da
sur,on
ankaŭ,also
pro,because of
tre,very much
per,by
ĉiuj,all
je,at
diris,said
aŭ,or
estos,will be
ilin,them
ho,oh
vian,your
tiun,that one
iru,go
ĉar,Because
nin,us
nia,our
plu,on
ĉio,everything
dum,while
mian,mine
sinjoro,sir
ankoraŭ,still
dankon,thanks
vere,really
esti,to be
eĉ,even
ĝis,up to
neniam,never
venu,Come on
eble,maybe
diras,says
dio,God
ion,something
du,two
antaŭ,before
ĉe,at
ĉiam,always
tiuj,those
ol,than
post,After
iu,someone
fari,to make
tien,there
bezonas,need
plej,most
tiom,so much
homoj,people
kia,what kind of
ĉion,everything
bona,good
certe,Certainly
bonan,good
rigardu,Look at
faras,does
tuj,immediately
patro,father
faris,made
bonvolu,please
diru,Say
sen,without
paĉjo,Daddy
kiuj,who
pardonu,Sorry
panjo,mom
poste,afterwards
lia,his
saluton,Hi
mem,self
vidis,saw
tempo,time
vivo,life
tute,completely
neniu,No one
kiom,How much
tro,too much
ŝin,her
ek,ek
pensas,thinks
kiun,which
laŭ,according to
vidas,see
okazas,happens
nenion,nothing
okazis,have occurred
viaj,your
estu,be to be
multe,much
atendu,wait
petas,Asking for
hodiaŭ,Today
faru,do
iom,a little
diri,to say
lasu,let
granda,big
komprenas,understands
alia,another
homo,man
tiam,then
miaj,mine
for,away
tamen,However
venis,came
mondo,world
ĉiu,each
estus,would be
ha,ha
io,something
kien,where
nenio,nothing
vidi,to see
jaroj,years
rapide,quickly
iras,goes
iri,to go
ci,ci
ŝatas,like
havis,had
denove,again
patrino,mother
povus,could
tri,three
niaj,our
ajn,whatever
tagon,day
eblas,is possible
volis,wanted to
parolas,speaks
donu,give
sia,his
aliaj,others
kredas,believes in
kontraŭ,against
ĝuste,just right
aŭskultu,Listen
rajtas,have the right to
unua,first
tia,such
sian,his
viajn,your
sin,himself
prenu,take
sola,alone
konas,know
kara,Dear
nek,neither
morgaŭ,tomorrow
filo,son
bela,nice
he,hey
faros,will do
tuta,Total
ĉiujn,all
gravas,is important
ŝajnas,seems to be
infanoj,Children
sinjorino,lady
vidu,see
venas,is coming
trovis,found
nomo,Name
alian,another
iros,will go
kune,together together
opinias,thinks
necesas,is required
iam,Once
timas,are afraid of
helpu,help
afero,thing
venos,will come
inter,between
sentas,Feeling
tago,day
amas,loves
baldaŭ,soon
amiko,friend
ekde,Since
simple,simply
povos,will be able to
kompreneble,of course
paroli,to talk
longe,long
preskaŭ,almost
pensis,thought
edzino,wife
tero,land
foriru,go away
fartas,is doing
bonege,great
